date,temperature_2m,wind_speed_30hPa,wind_speed_50hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_400hPa,wind_speed_500hPa,wind_speed_600hPa,wind_speed_700hPa,wind_speed_800hPa,wind_speed_850hPa,wind_speed_900hPa,wind_speed_925hPa,wind_speed_950hPa,wind_speed_975hPa,wind_speed_1000hPa,wind_direction_30hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,wind_direction_200hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_400hPa,wind_direction_500hPa,wind_direction_600hPa,wind_direction_700hPa,wind_direction_800hPa,wind_direction_850hPa,wind_direction_900hPa,wind_direction_925hPa,wind_direction_950hPa,wind_direction_975hPa,wind_direction_1000hPa,pressure_msl,surface_pressure,cloud_cover_high,cloud_cover_mid,cloud_cover_low,is_day
2025-08-03 12:00:00+00:00,15.3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.6,966.9846,0.0,0.0,1.0,1.0
2025-08-03 13:00:00+00:00,17.3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.3,967.03754,0.0,0.0,1.0,1.0
2025-08-03 14:00:00+00:00,19.7815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.2,967.3422,0.0,0.0,1.0,1.0
2025-08-03 15:00:00+00:00,21.5815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.9,967.35254,0.0,0.0,1.0,1.0
2025-08-03 16:00:00+00:00,23.231499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.1,967.81055,0.0,0.0,0.0,1.0
2025-08-03 17:00:00+00:00,24.5315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.0,967.9243,0.0,0.0,7.0,1.0
2025-08-03 18:00:00+00:00,25.2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.7,967.7585,0.0,0.0,11.0,1.0
2025-08-03 19:00:00+00:00,25.1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.9,967.9329,0.0,0.0,18.0,1.0
2025-08-03 20:00:00+00:00,24.9315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.2,968.1784,0.0,0.0,17.0,1.0
2025-08-03 21:00:00+00:00,24.8315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.4,968.35284,0.0,0.0,22.0,1.0
