date,precipitation,wind_direction_400hPa,wind_speed_400hPa,cloud_cover_400hPa,temperature_400hPa,wind_speed_50hPa,wind_speed_30hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_1000hPa,wind_speed_975hPa,wind_speed_950hPa,wind_speed_925hPa,wind_speed_900hPa,wind_speed_850hPa,wind_speed_800hPa,wind_speed_700hPa,wind_speed_600hPa,wind_speed_500hPa,wind_direction_30hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_200hPa,wind_direction_600hPa,wind_direction_500hPa,wind_direction_700hPa,wind_direction_800hPa,wind_direction_850hPa,wind_direction_900hPa,wind_direction_925hPa,wind_direction_950hPa,wind_direction_975hPa,wind_direction_1000hPa
2025-09-27 10:00:00+00:00,0.0,264.66794,90.39114,0.0,-22.909092,34.152596,27.70415,54.21291,80.04998,114.90587,128.07997,119.78981,109.69339,6.87779,27.15896,31.364397,32.73952,34.409706,44.765045,53.853966,63.979218,79.570015,80.54315,274.96964,251.56496,275.0795,257.00537,262.80084,259.0278,259.91946,257.00537,265.8725,266.58347,267.7761,282.875,292.12637,306.5912,312.5104,305.45557,285.94547,263.9911
2025-09-27 11:00:00+00:00,0.0,266.98727,91.32623,0.0,-22.909092,38.568382,26.508865,51.544155,78.61603,111.49672,123.5534,118.96958,108.955765,7.9932976,30.590672,32.722847,32.49149,31.0784,41.44832,51.877254,62.072067,76.130486,80.435814,264.80566,264.64426,282.09473,257.66092,261.95718,261.29785,262.40546,258.79922,268.15244,268.29022,270.5729,280.55176,284.6474,297.25525,301.32864,297.47433,282.6804,262.23492
2025-09-27 12:00:00+00:00,0.0,270.72522,94.807594,0.0,-22.59091,33.792305,28.01428,56.552982,72.8055,110.14536,123.32591,116.09651,106.90781,10.464798,28.863136,30.34454,28.907768,28.935242,40.931564,50.311523,58.978584,72.836555,80.40895,260.13425,263.88458,287.2816,261.46933,262.48795,262.8751,267.4267,259.34616,268.7127,269.14493,271.20602,280.30478,281.5601,284.2373,291.2093,293.2946,284.21588,273.9451
2025-09-27 13:00:00+00:00,0.0,275.12808,93.976166,0.0,-22.59091,33.190357,27.833792,56.18256,69.44466,106.746056,122.37646,119.35628,103.2279,11.27553,21.8326,27.752436,28.837723,30.446112,40.893497,48.74679,56.486164,70.36839,81.679375,262.5687,257.4712,289.9832,260.04944,261.5967,260.15894,268.66782,258.6901,269.3338,272.52606,270.62958,280.04196,284.19113,288.43503,292.98874,292.98874,289.9832,286.6993
2025-09-27 14:00:00+00:00,0.0,279.5829,93.70763,0.0,-22.59091,30.594114,31.498571,54.26601,64.95537,103.57606,123.5534,117.28733,104.46205,11.384199,18.645388,22.57143,27.200697,30.474874,39.690067,47.320713,55.25532,68.727264,82.162766,252.25523,258.6901,288.03436,258.2749,259.9921,262.94778,268.02512,258.79922,270.0,276.70975,268.7127,276.67438,282.60016,290.92456,293.53235,292.16638,289.88525,288.43503
2025-09-27 15:00:00+00:00,0.0,276.08844,90.510544,0.0,-22.272728,28.849957,29.221909,48.950584,66.79161,105.36109,120.341515,111.70317,103.20697,11.503113,18.295013,19.84414,22.9309,29.935354,41.025314,46.824135,55.297142,67.90909,79.77969,250.82089,253.0724,281.3099,252.21602,255.4889,267.53723,269.3338,260.81952,270.0,276.91113,267.4267,276.74548,282.18365,290.46234,291.61484,290.55612,290.28265,290.13638
2025-09-27 16:00:00+00:00,0.0,273.094,88.92963,0.0,-22.272728,31.15381,27.36421,43.34974,67.935265,107.472046,120.023994,108.166534,99.6,11.726277,18.404987,19.953327,21.375278,27.144823,42.220196,45.83121,54.652416,67.11086,78.58855,254.74483,254.3577,274.76355,252.52513,253.7909,266.82022,270.0,258.4654,271.39716,277.01642,268.04755,276.89233,283.7363,289.8322,289.79895,288.08353,287.7005,287.87878
2025-09-27 17:00:00+00:00,0.0,271.54813,88.83242,0.0,-21.954546,32.59939,32.19938,46.938255,71.889915,108.96237,117.92404,103.31156,96.00749,11.720751,17.926155,19.439814,20.200027,22.437363,39.810223,43.28972,53.37931,64.71917,77.136765,243.43501,263.6599,265.60138,255.49979,253.36111,267.33704,269.28384,257.66092,272.8985,275.35574,270.0,276.63242,285.94547,284.03625,282.65256,282.65256,282.01144,280.6196
2025-09-27 18:00:00+00:00,0.0,273.17978,86.533226,0.0,-21.636364,31.15381,31.15381,47.04551,70.84067,107.81317,115.25623,100.18382,90.0,11.659777,18.153738,19.66589,20.434942,21.344732,37.057373,41.24621,52.758617,63.08495,74.487045,254.3577,254.3577,264.14407,259.26114,253.17851,263.8115,270.0,255.52966,272.97366,272.77014,270.0,276.2634,286.42938,281.3099,280.20392,280.20392,279.46225,278.88058
2025-09-27 19:00:00+00:00,0.0,271.73566,79.23636,0.0,-21.318182,36.437344,33.01636,52.099903,68.72554,103.24185,115.87924,99.07815,86.60808,12.24,19.029564,20.906813,21.724394,22.620148,34.500744,39.70201,51.520977,60.567562,69.610344,250.90642,252.75845,262.0566,257.90524,250.30128,258.8262,266.0276,248.74942,271.54813,269.01227,270.69025,275.7823,282.20044,272.12103,271.06088,271.06088,271.1233,270.0
2025-09-27 20:00:00+00:00,0.0,268.12216,73.239334,0.0,-21.318182,34.131508,38.136597,52.922585,64.039986,104.3103,123.97806,97.25183,83.84557,10.799999,18.295013,20.519781,21.724394,23.456806,33.872055,38.052593,50.89655,57.27857,67.46732,245.85446,259.8754,266.09958,257.00537,246.97447,254.24875,260.9422,244.17906,269.18155,264.89792,270.0,273.01273,280.85635,272.04535,271.06088,271.0809,272.33725,270.0
2025-09-27 21:00:00+00:00,0.0,261.72418,66.69453,0.0,-21.318182,33.190357,33.792305,55.199997,64.94428,104.68237,141.72707,105.27222,82.34659,9.422101,18.046091,20.262587,21.902405,24.455254,32.889145,36.00347,48.449585,54.006195,64.00624,253.49556,257.4712,270.0,253.9091,244.90378,245.77226,251.30092,244.95383,270.86804,263.5413,272.20255,270.79572,273.9724,263.11838,262.61404,263.41815,262.8751,263.41815
2025-09-27 22:00:00+00:00,0.0,251.89615,65.64999,0.0,-21.636364,30.357864,32.95087,49.214634,61.85532,109.54231,154.73952,133.03232,87.13851,5.8048253,17.176834,20.262587,22.955582,25.613678,32.367264,34.51449,44.086445,49.15223,62.36537,259.50858,251.56496,271.39716,251.91646,245.40022,248.2945,247.3194,246.21796,267.13766,258.9063,271.6135,268.33975,271.6135,258.6901,258.887,263.41815,267.5105,262.8751
2025-09-27 23:00:00+00:00,0.0,244.85524,64.955376,0.0,-21.954546,31.15381,32.422215,48.05996,63.32772,111.877075,164.78494,139.49452,99.42635,6.2145634,16.04579,19.738142,23.540176,26.507954,32.3833,34.13209,40.387775,43.740215,58.517685,267.87894,254.3577,272.86234,242.94948,247.28555,248.29005,246.52899,244.55464,262.47626,254.53873,267.3575,264.95764,267.58054,254.4274,253.11313,258.6901,268.66782,259.9921
2025-09-28 00:00:00+00:00,0.0,233.74606,66.963875,0.0,-22.272728,24.02998,30.095846,46.36723,62.26138,112.780846,177.17787,135.98177,117.43458,4.379589,13.928571,18.073732,22.543087,28.1245,32.405735,30.536861,37.344685,41.791393,52.058426,265.42615,267.13766,280.4374,242.44728,249.44386,246.60222,248.41597,241.69934,246.94867,244.02565,254.57777,267.1845,266.77554,255.3432,254.47583,260.13425,277.69595,260.53775
