date,temperature_2m,wind_speed_30hPa,wind_speed_50hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_400hPa,wind_speed_500hPa,wind_speed_600hPa,wind_speed_700hPa,wind_speed_800hPa,wind_speed_850hPa,wind_speed_900hPa,wind_speed_925hPa,wind_speed_950hPa,wind_speed_975hPa,wind_speed_1000hPa,wind_direction_30hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,wind_direction_200hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_400hPa,wind_direction_500hPa,wind_direction_600hPa,wind_direction_700hPa,wind_direction_800hPa,wind_direction_850hPa,wind_direction_900hPa,wind_direction_925hPa,wind_direction_950hPa,wind_direction_975hPa,wind_direction_1000hPa,pressure_msl,surface_pressure,cloud_cover_high,cloud_cover_mid,cloud_cover_low,is_day
2025-10-01 22:00:00+00:00,14.8315,11.681025,12.910246,22.039713,28.131634,28.575844,32.169754,37.1144,23.549986,16.31488,9.566818,8.679635,7.4940658,4.2171874,3.9675288,8.463228,7.9918404,7.4134088,5.9243574,3.5043075,326.3099,342.47433,335.69547,298.92633,302.96942,288.8,286.22028,277.90707,263.15732,298.30066,345.25638,26.564985,50.194473,150.2552,145.88548,137.20262,130.426,125.311295,123.6901,1027.0,975.8226,99.0,100.0,0.0,1.0
2025-10-01 23:00:00+00:00,12.231501,13.729744,12.463503,22.039713,27.566303,28.575844,30.349922,36.653397,24.698586,18.142506,10.244937,6.9851832,5.5273495,3.8936749,3.3467193,11.224282,11.337588,10.706796,8.55799,3.7541788,340.70987,332.1028,335.69547,299.57773,302.96942,286.1135,278.13,274.5139,270.0,288.43503,341.56494,14.036275,56.309914,143.97253,154.98314,143.56905,128.65984,116.56499,111.25058,1026.7,975.0855,96.0,100.0,0.0,1.0
2025-10-02 12:00:00+00:00,7.9315,10.447826,7.3877287,16.25042,20.895653,27.703037,30.176512,31.907673,33.17209,27.974493,23.478569,18.161478,14.761598,12.651564,13.059509,22.540546,30.841576,31.452427,15.17055,5.650526,352.87506,285.25516,293.49857,262.8751,259.21576,255.06853,257.0926,257.5926,256.60748,242.02061,228.94528,219.47243,219.80553,222.70937,226.2188,213.802,203.49858,190.71307,183.94511,1026.5,974.1304,100.0,100.0,1.0,1.0
2025-10-02 13:00:00+00:00,9.6815,10.547809,8.813027,10.686212,22.631804,27.831554,30.336086,28.977057,33.805187,28.302738,23.181646,18.64403,16.121824,14.528718,14.119824,20.467697,29.821377,30.052414,14.814661,7.064996,10.61961,287.1028,284.03625,256.75946,257.90524,250.0168,259.69522,257.82855,254.05453,243.43501,233.67308,223.31535,221.98714,221.4676,226.78989,214.61604,203.35559,191.76826,187.90707,1026.2,974.15967,100.0,100.0,2.0,1.0
2025-10-02 14:00:00+00:00,11.981501,8.423307,10.467898,10.058838,23.771786,27.974493,30.945812,27.344578,25.278225,26.565813,23.762953,19.48353,17.301395,15.67267,14.979114,21.257439,27.588964,26.359941,14.078795,8.360772,22.61991,291.80148,284.93146,252.55272,256.60748,250.42677,256.29303,268.53122,257.3196,244.1337,237.0306,224.21527,222.20723,222.33694,224.56926,213.4399,206.3618,199.21277,197.59251,1025.7,974.09204,100.0,100.0,2.0,1.0
2025-10-02 15:00:00+00:00,14.3815,7.3877287,12.052505,7.8023114,23.974026,28.897259,30.803032,28.3398,19.535349,26.31174,23.824709,20.555916,18.795021,17.38162,16.573639,22.169178,24.622927,19.989098,14.459833,9.036243,52.124958,306.25394,265.23645,251.07526,250.34608,255.37909,259.46088,275.7105,260.07382,247.61981,241.78275,230.06367,223.11182,220.78572,219.20718,210.1836,201.46771,198.68744,198.8248,1025.4,974.22473,63.0,100.0,4.0,1.0
2025-10-02 16:00:00+00:00,16.2815,6.4794664,11.947547,8.014658,24.800365,30.460386,29.236687,30.515469,21.470413,26.880026,24.191938,21.17329,19.71381,18.900373,18.442692,22.702024,21.177858,19.329092,14.146361,9.220443,90.0,319.39877,255.96373,250.1447,246.16125,257.19574,266.34784,264.80566,254.62369,249.62347,246.64441,234.6887,225.57864,224.9999,215.2725,205.51382,201.57137,199.9832,198.43504,1025.2,974.36066,92.0,99.0,3.0,1.0
2025-10-02 17:00:00+00:00,17.4315,1.8326701,9.7192,11.481644,25.796091,33.21635,28.3398,29.81259,24.927008,27.059046,24.587849,20.838808,20.749226,20.250132,20.357298,20.97193,19.43203,18.527037,13.542612,9.240911,135.0001,323.13,253.61038,244.72232,249.44386,259.46088,271.24533,261.02747,253.30067,251.56496,248.87521,238.8776,227.16109,224.51036,210.43416,205.13292,203.9625,202.751,202.24907,1024.6,973.9854,87.0,100.0,2.0,1.0
2025-10-02 18:00:00+00:00,18.5315,1.8326701,7.5562916,13.11992,26.383446,33.399124,28.04943,31.10144,27.58914,27.059046,24.191938,22.913105,21.90781,20.87925,21.925207,19.737038,19.138512,18.227505,12.887068,9.218394,224.9999,329.03632,249.77505,245.32315,251.91646,263.36758,270.0,260.53775,253.30067,249.62347,250.86626,240.6901,229.72021,225.90929,209.50063,207.72816,206.56499,204.96275,204.94388,1023.8,973.41,95.0,100.0,0.0,1.0
2025-10-02 19:00:00+00:00,19.231499,1.94384,5.223913,15.401517,28.161465,33.449368,29.1576,33.051632,28.62722,25.460266,26.715527,24.04365,23.98101,21.437325,21.754719,19.518394,18.94031,18.04443,12.436829,9.218394,270.0,352.87506,247.75093,246.97447,261.08514,270.0,271.1233,264.80566,255.2564,247.1663,249.56708,243.43501,233.70728,226.37476,208.3456,206.56499,205.3777,204.90474,204.94388,1023.3,973.0516,26.0,95.0,0.0,1.0
