date,temperature,pressure,110,stdev [110],direction [110],320,stdev [320],direction [320],500,stdev [500],direction [500],800,stdev [800],direction [800],1000,stdev [1000],direction [1000],1500,stdev [1500],direction [1500],1900,stdev [1900],direction [1900],3200,stdev [3200],direction [3200],4200,stdev [4200],direction [4200],5600,stdev [5600],direction [5600],7200,stdev [7200],direction [7200],9200,stdev [9200],direction [9200],10400,stdev [10400],direction [10400],11800,stdev [11800],direction [11800],13500,stdev [13500],direction [13500],15800,stdev [15800],direction [15800],17700,stdev [17700],direction [17700],19300,stdev [19300],direction [19300],22000,stdev [22000],direction [22000],cloud_cover_low,is_day
2024-08-01 00:00:00,26.5315,1009.2,2.4587848,0.0,288.43503,2.5479636,0.0,288.43503,7.959057,0.0,293.1986,9.422091,0.0,295.97433,9.906626,0.0,297.1496,10.719672,0.0,301.86594,11.511314,0.0,309.28937,13.014671,0.0,325.4914,17.770395,0.0,304.8754,18.868492,0.0,285.94547,23.4159,0.0,284.4208,23.226877,0.0,292.98874,28.685822,0.0,288.43503,29.81259,0.0,268.75467,39.77886,0.0,257.7749,20.592066,0.0,257.27563,7.156805,0.0,264.80566,0.0,0.0,270.0,9.911678,0.0,78.6901,0.0,1.0
2024-08-01 01:00:00,23.4315,1010.1,2.3326082,0.0,270.0,2.4172106,0.0,270.0,7.2465262,0.0,303.23172,8.649461,0.0,298.49554,9.20075,0.0,297.824,10.511504,0.0,302.57404,11.016283,0.0,306.02747,12.404887,0.0,321.5819,18.21513,0.0,309.09384,20.7039,0.0,290.13638,23.12725,0.0,281.3099,22.752064,0.0,289.9832,26.636835,0.0,288.43503,31.108189,0.0,271.19345,37.614407,0.0,259.07724,19.960545,0.0,256.86597,6.146962,0.0,288.43503,0.6479467,0.0,270.0,12.310987,0.0,90.0,0.0,1.0
2024-08-01 02:00:00,21.4315,1010.9,1.5550721,0.0,270.0,1.6240144,0.0,262.8751,5.9192247,0.0,317.86246,7.8458986,0.0,311.63345,9.782074,0.0,310.31403,11.912756,0.0,308.2902,11.131469,0.0,309.09384,11.4637165,0.0,322.12494,16.58301,0.0,311.7602,19.330107,0.0,283.57043,23.98278,0.0,268.45187,23.98278,0.0,268.45187,25.278225,0.0,268.53122,34.347286,0.0,268.9191,36.619022,0.0,256.70142,20.252869,0.0,262.6477,5.343106,0.0,284.03625,3.7781458,0.0,300.96368,15.029011,0.0,82.56869,0.0,0.0
2024-08-01 03:00:00,20.481499,1011.7,2.2668877,0.0,239.0363,2.2521029,0.0,243.43501,4.1488304,0.0,319.0857,7.539299,0.0,311.49637,10.130994,0.0,308.65982,12.761731,0.0,303.9965,12.654443,0.0,303.6901,12.323125,0.0,315.0001,16.435232,0.0,306.25394,20.345938,0.0,279.16226,22.715128,0.0,266.72958,21.732792,0.0,259.69522,25.036245,0.0,259.5626,32.62976,0.0,276.84268,37.881336,0.0,257.15228,21.470413,0.0,264.80566,7.3877287,0.0,307.87503,2.671553,0.0,345.9637,16.519463,0.0,78.6901,0.0,0.0
2024-08-01 04:00:00,20.231499,1011.3,3.3102403,0.0,176.6336,3.2480288,0.0,172.87508,1.5072291,0.0,33.6901,3.0172837,0.0,329.74365,5.7626033,0.0,311.82007,10.305005,0.0,303.31064,11.0986805,0.0,311.05472,12.805865,0.0,317.1211,18.032059,0.0,300.96368,22.631804,0.0,283.24054,23.406933,0.0,265.23645,23.549986,0.0,262.09293,27.929432,0.0,266.00916,31.34348,0.0,277.1249,38.496975,0.0,263.23392,21.538744,0.0,263.08887,3.2397335,0.0,323.13,2.5917869,0.0,90.0,19.535349,0.0,84.2895,0.0,0.0
2024-08-01 05:00:00,19.5315,1011.5,3.4444933,0.0,196.38962,3.5694232,0.0,196.38962,2.749164,0.0,171.25392,1.390687,0.0,218.65982,2.9729328,0.0,278.74606,7.2701025,0.0,293.9625,8.434375,0.0,309.8055,13.279519,0.0,317.0454,19.114405,0.0,303.6901,22.163187,0.0,285.25516,25.344572,0.0,265.60138,27.703037,0.0,259.21576,27.244598,0.0,267.27374,32.68761,0.0,283.7608,35.848495,0.0,263.77426,21.421474,0.0,266.53183,2.671553,0.0,345.9637,0.91633505,0.0,315.0001,15.55072,0.0,90.0,0.0,0.0
2024-08-01 06:00:00,17.981499,1011.7,4.044869,0.0,215.21768,3.911145,0.0,214.50858,8.1623,0.0,219.80553,7.0644813,0.0,224.9999,6.833373,0.0,235.78426,8.252958,0.0,259.69522,6.8352914,0.0,279.09018,10.687915,0.0,311.18582,16.435232,0.0,306.25394,20.117676,0.0,284.93146,27.86924,0.0,271.33218,31.108189,0.0,268.80655,30.700642,0.0,262.7251,34.947098,0.0,280.68484,36.492687,0.0,263.88458,21.732792,0.0,259.69522,2.671553,0.0,14.036275,2.336205,0.0,236.3099,13.10391,0.0,98.530685,0.0,0.0
2024-08-01 07:00:00,17.8315,1012.1,4.636781,0.0,236.97612,4.526671,0.0,237.72438,13.313128,0.0,247.86446,11.327183,0.0,237.52882,11.047656,0.0,239.23735,11.361274,0.0,252.3498,9.24255,0.0,263.29025,9.742286,0.0,296.56497,14.705429,0.0,302.7352,18.246344,0.0,286.50443,26.047132,0.0,275.7105,33.20371,0.0,275.59924,35.84264,0.0,282.5288,42.921272,0.0,298.88647,36.938644,0.0,271.00507,20.774752,0.0,266.42374,4.148883,0.0,231.34016,1.4488529,0.0,206.56499,17.792006,0.0,79.50858,0.0,0.0
2024-08-01 08:00:00,17.3815,1011.9,3.460909,0.0,231.84273,3.430301,0.0,229.76372,12.713891,0.0,260.53775,11.494603,0.0,247.79646,11.635498,0.0,245.9245,12.139302,0.0,252.29948,10.615313,0.0,262.69434,10.17649,0.0,287.24155,14.040046,0.0,294.14554,18.968357,0.0,277.8532,26.636835,0.0,274.18484,31.05416,0.0,293.3556,53.344547,0.0,310.0728,49.34615,0.0,299.93143,37.720295,0.0,274.927,18.246344,0.0,263.88458,3.2397335,0.0,216.86998,2.336205,0.0,236.3099,16.21162,0.0,87.70944,0.0,0.0
2024-08-01 09:00:00,16.731499,1012.1,3.6157515,0.0,233.74606,3.631407,0.0,236.3099,11.930348,0.0,266.98727,12.141224,0.0,259.69522,12.609035,0.0,255.4655,13.371039,0.0,257.24246,12.2237625,0.0,263.6599,10.854761,0.0,278.88058,14.811225,0.0,287.3541,20.985872,0.0,278.88058,28.693138,0.0,276.48297,34.347286,0.0,305.78906,53.431053,0.0,309.09384,53.368153,0.0,299.0545,40.949,0.0,274.5377,18.801622,0.0,268.02512,7.9091973,0.0,235.0079,4.67241,0.0,326.3099,16.896383,0.0,94.39862,0.0,0.0
