date,temperature_2m,pressure_msl,wind_speed_30hPa,wind_speed_50hPa,wind_speed_70hPa,wind_speed_100hPa,wind_speed_150hPa,wind_speed_200hPa,wind_speed_250hPa,wind_speed_300hPa,wind_speed_400hPa,wind_speed_500hPa,wind_speed_600hPa,wind_speed_700hPa,wind_speed_800hPa,wind_speed_850hPa,wind_speed_900hPa,wind_speed_925hPa,wind_speed_950hPa,wind_speed_975hPa,wind_speed_1000hPa,wind_direction_30hPa,wind_direction_50hPa,wind_direction_70hPa,wind_direction_100hPa,wind_direction_150hPa,wind_direction_200hPa,wind_direction_250hPa,wind_direction_300hPa,wind_direction_400hPa,wind_direction_500hPa,wind_direction_600hPa,wind_direction_700hPa,wind_direction_800hPa,wind_direction_850hPa,wind_direction_900hPa,wind_direction_925hPa,wind_direction_950hPa,wind_direction_975hPa,wind_direction_1000hPa,surface_pressure,cloud_cover_high,cloud_cover_mid,cloud_cover_low,is_day
2024-08-01 10:00,16.0815,1012.3,15.029011,6.511783,6.978599,18.429499,40.05233,58.963146,53.23031,33.3551,28.977057,23.406933,16.393618,12.231639,12.430711,13.050234,13.111567,13.577342,14.810602,3.7033226,3.652144,82.56869,5.7105074,248.19853,259.8754,279.30988,292.6199,301.56177,299.0545,280.30478,274.76355,284.03625,279.46225,267.5105,267.83896,269.01227,277.3523,278.9305,247.61981,244.7989,962.0666,0,0,0,0
2024-08-01 11:00,16.981499,1011.9,15.029011,1.4488529,5.83152,15.55072,39.60963,60.161423,50.143703,34.832783,26.565813,24.287199,22.496197,16.947197,14.349515,15.055715,13.795112,14.770436,15.475587,3.2791111,3.1643424,82.56869,26.564985,270,270,285.17297,292.14523,295.24048,288.43503,282.6804,279.21094,289.50253,294.53772,265.68405,258.6901,271.87784,287.1028,286.47696,259.3804,259.3804,961.83777,0,0,0,1
2024-08-01 12:00,18.981499,1012.3,16.198666,2.671553,6.6077857,14.386751,37.31183,64.74929,46.7241,36.342823,25.036245,23.008951,23.749624,19.076778,13.630535,13.708636,10.198843,8.947019,8.572167,2.3491063,2.372759,90,14.036275,281.3099,262.23492,290.3232,288.07242,289.44012,281.3099,280.4374,279.7275,288.43503,288.43503,262.0305,248.96242,257.19574,275.5721,268.60284,210.96368,214.9921,962.5506,0,0,0,1
2024-08-01 13:00,20.731499,1012.2,17.60222,6.3815346,8.118749,17.792006,33.449368,63.551647,49.218365,40.282276,27.405922,24.656054,23.79068,21.84877,12.430711,13.391399,12.915275,10.400147,7.7786193,3.1849544,3.1881347,83.659904,23.962492,298.61035,259.50858,291.59537,286.5874,286.04907,281.12915,276.78888,273.01273,285.06854,290.659,267.5105,249.56708,237.14427,241.29414,239.30035,235.30478,232.43134,962.743,0,0,0,1
2024-08-01 14:00,23.731499,1012.6,13.60688,5.4980097,6.887768,16.25042,33.21635,63.114132,54.30783,39.77886,29.868864,24.758009,22.823494,20.599825,12.561948,13.371039,14.483434,11.897904,6.5432067,3.9729035,4.002611,90,44.999897,311.18582,274.57382,290.55612,289.1791,287.3541,282.2251,273.73132,276.0089,284.57425,291.97455,278.65247,257.24246,247.0362,248.58696,243.43501,239.53453,240.94548,963.6087,0,0,0,1
2024-08-01 15:00,26.3815,1012.5,17.49456,5.536059,9.63242,17.54249,33.399124,60.241623,55.546078,40.800064,30.700642,25.036245,24.334118,19.818935,13.771513,16.119934,15.870314,11.617064,8.810921,5.4237823,5.4149113,90,110.55613,312.27362,274.23633,288.08353,288.8248,286.95538,280.06064,277.2749,280.4374,285.80258,288.74142,268.8767,257.66092,252.5972,249.19313,247.69374,248.19853,248.96242,963.9343,0,0,0,1
2024-08-01 16:00,27.9315,1012.7,18.801622,5.343106,7.3306804,18.835087,34.01566,55.93773,54.38508,43.716,29.735033,23.762953,25.01047,20.16447,12.445361,14.946745,13.140758,11.655575,10.56302,6.486682,6.4352555,91.97489,75.96373,315.0001,266.0549,287.74475,288.22516,291.6747,281.9761,281.3099,281.00348,287.47485,285.4222,266.26868,249.77505,243.43501,243.43501,242.928,244.23071,244.98314,964.36786,0,0,0,1
2024-08-01 17:00,28.7815,1012.7,14.269546,2.5917869,7.3877287,17.60222,33.317314,49.790813,52.045895,46.1318,29.236687,21.858,24.310047,19.841593,12.714778,13.990597,12.645448,12.446264,11.434864,7.121774,7.3068733,92.60251,90,322.12497,263.6599,283.49576,288.19925,288.88617,280.52072,282.80426,281.9761,289.09357,285.6796,266.34784,246.13982,241.14444,240.75127,239.21593,241.2603,241.38963,964.4999,0,0,0,1
2024-08-01 18:00,29.5315,1012.2,12.328027,2.5917869,4.0979743,16.198666,33.947704,48.42291,50.829754,45.263607,27.680294,21.095617,21.665335,18.940872,12.791934,12.882138,12.480753,12.076948,11.267444,7.412122,7.427402,93.012726,180,18.435053,270,283.24054,282.3625,287.0491,283.24054,286.31393,280.6196,286.5874,283.29858,262.7251,241.47697,234.58286,232.3057,229.51407,227.20262,227.12111,964.1395,0,0,0,1
2024-08-01 19:00,30.231499,1011.4,13.215571,2.0489872,3.2397332,14.916852,34.947098,51.13445,52.339493,44.78807,26.23984,21.22458,20.398651,18.614874,13.450204,13.425263,13.349048,12.827017,11.693642,7.299037,7.478102,101.3099,108.43504,90,267.5105,280.68484,278.74606,285.06854,284.2373,290.22495,282.33908,287.6502,283.53586,259.59235,243.90463,241.69934,241.69934,241.14442,242.02061,242.10283,963.48535,0,0,0,1
2024-08-01 20:00,30.7815,1011.7,12.580849,4.9346147,2.336205,16.21162,35.371006,52.6793,48.7986,43.373726,23.36205,19.188414,19.180658,17.559158,13.897957,13.553181,13.440585,13.067477,12.075934,7.4856596,7.480628,101.88863,156.80139,146.3099,267.70944,278.42688,274.93912,280.71307,283.82867,289.44012,281.68933,284.67642,283.24054,262.18478,254.19742,250.34608,248.5522,246.54095,246.19405,245.43285,963.8552,0,0,0,1
2024-08-01 21:00,30.1815,1011.3,12.3790045,4.148883,3.3038929,15.564214,37.670174,49.959167,47.193474,39.140484,20.096796,18.968357,18.45464,18.141212,15.398203,14.481794,13.726427,13.119715,11.840293,7.144528,7.147413,83.99109,231.34016,191.30989,272.3859,273.9451,272.97366,278.68628,289.3349,290.77234,277.8532,281.0409,281.72507,267.99048,260.21765,252.75845,250.66508,249.3255,248.4985,247.61981,963.38245,0,0,0,1
2024-08-01 22:00,29.7815,1011.6,12.463504,5.7954116,5.9737735,14.916852,36.429356,50.543995,45.35627,37.736984,18.246344,17.685503,18.45464,17.963888,15.447825,14.5506115,13.227944,12.583838,11.311945,6.5365324,6.417617,81.02746,296.56497,229.39879,267.5105,275.10208,269.2655,270,285.94547,286.50443,278.42688,281.0409,284.03625,275.01303,266.12155,253.11313,248.74942,242.48808,236.3099,234.86572,963.6067,0,0,0,1
2024-08-01 23:00,29.1315,1011.7,15.401516,4.67241,7.156805,18.154074,41.594948,51.68162,44.136536,35.2104,12.3790045,15.250853,20.148352,18.442102,14.062188,14.13054,13.3567,13.018654,12.0088215,6.205351,6.1469617,75.37909,326.3099,264.80566,267.95465,274.46707,262.07315,273.3664,282.75754,276.0089,282.26477,285.25516,289.09357,273.3018,262.99884,246.0375,242.15251,238.52321,234.24602,235.30478,963.6016,0,0,0,1
2024-08-02 0:00,26.9315,1011.5,16.198666,4.0979743,8.644687,16.85907,39.545986,49.828743,38.8768,29.236687,12.328027,14.618343,19.608345,17.079237,12.919501,12.305245,13.306882,12.725485,11.1896305,3.9983552,3.9884262,73.73973,341.56494,282.99463,267.79745,271.87784,257.22876,270,282.80426,273.01273,282.80426,284.34937,285.94547,280.84027,268.85425,249.10216,242.56035,237.20047,229.08571,226.97493,963.0689,0,0,0,1
2024-08-02 1:00,24.6815,1011,16.658657,5.223913,10.244937,16.21162,39.140484,47.622974,33.749252,25.99066,11.481644,11.091061,18.44935,17.638937,13.237173,12.096834,14.097329,15.252779,14.779597,4.28255,4.40699,76.50425,29.744795,288.43503,267.70944,263.34567,255.01831,266.6982,274.28906,253.61038,276.70975,286.6993,284.30032,281.76825,274.66678,257.96942,250.0168,241.2603,228.81416,228.57643,962.2377,0,0,0,1
